# /home/jwozniak/MARL/.venv/bin/python3 -m smax.run --exploration correlated --similarity obs --mixer qmix --seed 1 --total-steps 2000000 --out results_smax/smax_2s3z_qmix_correlated_obs_s1.npz
2026-06-10 20:13:38.983562: W external/xla/xla/service/gpu/nvptx_compiler.cc:930] The NVIDIA driver's CUDA version is 12.7 which is older than the PTX compiler version 12.9.86. Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[run] cfg={'seed': 1, 'total_steps': 2000000, 'n_envs': 128, 'buffer_cap': 100000, 'batch_size': 128, 'warmup': 5000, 'updates_per_iter': 1, 'target_sync': 200, 'gamma': 0.99, 'lr': 0.0003, 'grad_clip': 10.0, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_anneal_steps': 100000, 'hidden_size': 128, 'exploration': 'correlated', 'similarity': 'obs', 'mixer': 'qmix', 'qmix_embed': 32, 'log_corr_every': 2000}
[cfg] n_agents=5  n_actions=10  obs_dim=127  state_dim=120  aug_dim=134
iter=     0  env_steps=        0  eps=1.000  episodes=     0  recent_return=0.00  win=0.00  buf=128
iter=   200  env_steps=    25600  eps=0.757  episodes=   394  recent_return=0.24  win=0.00  buf=25728
iter=   400  env_steps=    51200  eps=0.514  episodes=   832  recent_return=0.28  win=0.01  buf=51328
iter=   600  env_steps=    76800  eps=0.270  episodes=  1296  recent_return=0.20  win=0.00  buf=76928
iter=   800  env_steps=   102400  eps=0.050  episodes=  1887  recent_return=0.03  win=0.00  buf=100000
iter=  1000  env_steps=   128000  eps=0.050  episodes=  2416  recent_return=0.04  win=0.00  buf=100000
iter=  1200  env_steps=   153600  eps=0.050  episodes=  2950  recent_return=0.04  win=0.00  buf=100000
iter=  1400  env_steps=   179200  eps=0.050  episodes=  3500  recent_return=0.05  win=0.00  buf=100000
iter=  1600  env_steps=   204800  eps=0.050  episodes=  4025  recent_return=0.03  win=0.00  buf=100000
iter=  1800  env_steps=   230400  eps=0.050  episodes=  4530  recent_return=0.06  win=0.00  buf=100000
iter=  2000  env_steps=   256000  eps=0.050  episodes=  5028  recent_return=0.03  win=0.00  buf=100000
iter=  2200  env_steps=   281600  eps=0.050  episodes=  5513  recent_return=0.04  win=0.00  buf=100000
iter=  2400  env_steps=   307200  eps=0.050  episodes=  6003  recent_return=0.05  win=0.00  buf=100000
iter=  2600  env_steps=   332800  eps=0.050  episodes=  6466  recent_return=0.05  win=0.00  buf=100000
iter=  2800  env_steps=   358400  eps=0.050  episodes=  6948  recent_return=0.04  win=0.00  buf=100000
iter=  3000  env_steps=   384000  eps=0.050  episodes=  7424  recent_return=0.05  win=0.00  buf=100000
iter=  3200  env_steps=   409600  eps=0.050  episodes=  7840  recent_return=0.05  win=0.00  buf=100000
iter=  3400  env_steps=   435200  eps=0.050  episodes=  8288  recent_return=0.05  win=0.00  buf=100000
iter=  3600  env_steps=   460800  eps=0.050  episodes=  8763  recent_return=0.05  win=0.00  buf=100000
iter=  3800  env_steps=   486400  eps=0.050  episodes=  9194  recent_return=0.05  win=0.00  buf=100000
iter=  4000  env_steps=   512000  eps=0.050  episodes=  9670  recent_return=0.07  win=0.00  buf=100000
iter=  4200  env_steps=   537600  eps=0.050  episodes= 10141  recent_return=0.07  win=0.00  buf=100000
iter=  4400  env_steps=   563200  eps=0.050  episodes= 10612  recent_return=0.06  win=0.00  buf=100000
iter=  4600  env_steps=   588800  eps=0.050  episodes= 11068  recent_return=0.06  win=0.00  buf=100000
iter=  4800  env_steps=   614400  eps=0.050  episodes= 11518  recent_return=0.06  win=0.00  buf=100000
iter=  5000  env_steps=   640000  eps=0.050  episodes= 11946  recent_return=0.08  win=0.00  buf=100000
iter=  5200  env_steps=   665600  eps=0.050  episodes= 12367  recent_return=0.11  win=0.00  buf=100000
iter=  5400  env_steps=   691200  eps=0.050  episodes= 12801  recent_return=0.10  win=0.00  buf=100000
iter=  5600  env_steps=   716800  eps=0.050  episodes= 13216  recent_return=0.08  win=0.00  buf=100000
iter=  5800  env_steps=   742400  eps=0.050  episodes= 13673  recent_return=0.13  win=0.00  buf=100000
iter=  6000  env_steps=   768000  eps=0.050  episodes= 14060  recent_return=0.11  win=0.00  buf=100000
iter=  6200  env_steps=   793600  eps=0.050  episodes= 14480  recent_return=0.14  win=0.00  buf=100000
iter=  6400  env_steps=   819200  eps=0.050  episodes= 14891  recent_return=0.22  win=0.00  buf=100000
iter=  6600  env_steps=   844800  eps=0.050  episodes= 15294  recent_return=0.20  win=0.00  buf=100000
iter=  6800  env_steps=   870400  eps=0.050  episodes= 15711  recent_return=0.12  win=0.00  buf=100000
iter=  7000  env_steps=   896000  eps=0.050  episodes= 16119  recent_return=0.15  win=0.00  buf=100000
iter=  7200  env_steps=   921600  eps=0.050  episodes= 16533  recent_return=0.13  win=0.00  buf=100000
iter=  7400  env_steps=   947200  eps=0.050  episodes= 16968  recent_return=0.10  win=0.00  buf=100000
iter=  7600  env_steps=   972800  eps=0.050  episodes= 17386  recent_return=0.17  win=0.00  buf=100000
iter=  7800  env_steps=   998400  eps=0.050  episodes= 17802  recent_return=0.21  win=0.00  buf=100000
iter=  8000  env_steps=  1024000  eps=0.050  episodes= 18215  recent_return=0.22  win=0.00  buf=100000
iter=  8200  env_steps=  1049600  eps=0.050  episodes= 18624  recent_return=0.30  win=0.01  buf=100000
iter=  8400  env_steps=  1075200  eps=0.050  episodes= 19051  recent_return=0.31  win=0.01  buf=100000
iter=  8600  env_steps=  1100800  eps=0.050  episodes= 19492  recent_return=0.18  win=0.00  buf=100000
iter=  8800  env_steps=  1126400  eps=0.050  episodes= 19925  recent_return=0.29  win=0.00  buf=100000
iter=  9000  env_steps=  1152000  eps=0.050  episodes= 20359  recent_return=0.38  win=0.04  buf=100000
iter=  9200  env_steps=  1177600  eps=0.050  episodes= 20830  recent_return=0.31  win=0.00  buf=100000
iter=  9400  env_steps=  1203200  eps=0.050  episodes= 21284  recent_return=0.28  win=0.00  buf=100000
iter=  9600  env_steps=  1228800  eps=0.050  episodes= 21752  recent_return=0.34  win=0.00  buf=100000
iter=  9800  env_steps=  1254400  eps=0.050  episodes= 22210  recent_return=0.30  win=0.00  buf=100000
iter= 10000  env_steps=  1280000  eps=0.050  episodes= 22719  recent_return=0.26  win=0.00  buf=100000
iter= 10200  env_steps=  1305600  eps=0.050  episodes= 23174  recent_return=0.28  win=0.00  buf=100000
iter= 10400  env_steps=  1331200  eps=0.050  episodes= 23646  recent_return=0.33  win=0.00  buf=100000
iter= 10600  env_steps=  1356800  eps=0.050  episodes= 24098  recent_return=0.30  win=0.01  buf=100000
iter= 10800  env_steps=  1382400  eps=0.050  episodes= 24573  recent_return=0.28  win=0.00  buf=100000
iter= 11000  env_steps=  1408000  eps=0.050  episodes= 25046  recent_return=0.28  win=0.00  buf=100000
iter= 11200  env_steps=  1433600  eps=0.050  episodes= 25526  recent_return=0.34  win=0.02  buf=100000
iter= 11400  env_steps=  1459200  eps=0.050  episodes= 26021  recent_return=0.29  win=0.01  buf=100000
iter= 11600  env_steps=  1484800  eps=0.050  episodes= 26520  recent_return=0.31  win=0.00  buf=100000
iter= 11800  env_steps=  1510400  eps=0.050  episodes= 26986  recent_return=0.30  win=0.00  buf=100000
iter= 12000  env_steps=  1536000  eps=0.050  episodes= 27454  recent_return=0.25  win=0.00  buf=100000
iter= 12200  env_steps=  1561600  eps=0.050  episodes= 27940  recent_return=0.19  win=0.00  buf=100000
iter= 12400  env_steps=  1587200  eps=0.050  episodes= 28401  recent_return=0.29  win=0.01  buf=100000
iter= 12600  env_steps=  1612800  eps=0.050  episodes= 28854  recent_return=0.25  win=0.00  buf=100000
iter= 12800  env_steps=  1638400  eps=0.050  episodes= 29325  recent_return=0.17  win=0.00  buf=100000
iter= 13000  env_steps=  1664000  eps=0.050  episodes= 29781  recent_return=0.24  win=0.00  buf=100000
iter= 13200  env_steps=  1689600  eps=0.050  episodes= 30272  recent_return=0.15  win=0.00  buf=100000
iter= 13400  env_steps=  1715200  eps=0.050  episodes= 30777  recent_return=0.24  win=0.00  buf=100000
iter= 13600  env_steps=  1740800  eps=0.050  episodes= 31236  recent_return=0.27  win=0.00  buf=100000
iter= 13800  env_steps=  1766400  eps=0.050  episodes= 31678  recent_return=0.31  win=0.00  buf=100000
iter= 14000  env_steps=  1792000  eps=0.050  episodes= 32106  recent_return=0.24  win=0.00  buf=100000
iter= 14200  env_steps=  1817600  eps=0.050  episodes= 32575  recent_return=0.23  win=0.00  buf=100000
iter= 14400  env_steps=  1843200  eps=0.050  episodes= 33023  recent_return=0.27  win=0.00  buf=100000
iter= 14600  env_steps=  1868800  eps=0.050  episodes= 33454  recent_return=0.27  win=0.00  buf=100000
iter= 14800  env_steps=  1894400  eps=0.050  episodes= 33888  recent_return=0.20  win=0.00  buf=100000
iter= 15000  env_steps=  1920000  eps=0.050  episodes= 34351  recent_return=0.22  win=0.00  buf=100000
iter= 15200  env_steps=  1945600  eps=0.050  episodes= 34796  recent_return=0.26  win=0.00  buf=100000
iter= 15400  env_steps=  1971200  eps=0.050  episodes= 35239  recent_return=0.35  win=0.05  buf=100000
iter= 15600  env_steps=  1996800  eps=0.050  episodes= 35691  recent_return=0.28  win=0.01  buf=100000
[run] 2000000 env-steps in 257s => 7780 env-steps/sec
[run] saved -> results_smax/smax_2s3z_qmix_correlated_obs_s1.npz
